巴黎,雨天,2.3522,48.8566
东京,晴朗,139.6917,35.6895
罗马,雪天,12.4964,41.9028
巴塞罗那,雨天,2.1734,41.3851
悉尼,多云,151.2093,-33.8688
伦敦,阴天,-0.1276,51.5074
纽约,雨天,-74.006,40.7128
开罗,晴朗,31.2357,30.0444
莫斯科,阴天,37.6176,55.7558
里约热内卢,雨天,-43.1729,-22.9068
温哥华,晴朗,-123.1216,49.2827
圣彼得堡,雪天,30.3351,59.9343
洛杉矶,雨天,-118.2437,34.0522
布宜诺斯艾利斯,阴天,-58.3816,-34.6037
布拉格,晴朗,14.4378,50.0755
柏林,晴朗,13.4049,52.52
阿姆斯特丹,晴朗,4.8952,52.3702
雅典,多云,23.7275,37.9838
马德里,雨天,-3.7038,40.4168
圣地亚哥,多云,-70.6483,-33.4489
京都,多云,135.7681,35.0116
墨尔本,晴朗,144.9631,-37.8136
北京,雨天,116.4074,39.9042
威尼斯,雨天,12.3155,45.4408
曼谷,多云,100.5166,13.7563
香港,雪天,114.1694,22.3193
迪拜,雪天,55.2708,25.2048
圣保罗,雪天,-46.6333,-23.5505
多伦多,多云,-79.3832,43.6532
赫尔辛基,雨天,24.9384,60.1699
华盛顿,阴天,-77.0369,38.9072
伊斯坦布尔,雨天,28.9784,41.0082
斯德哥尔摩,阴天,18.0686,59.3293
慕尼黑,雨天,11.5802,48.1351
奥克兰,阴天,174.7762,-36.8485
金边,雪天,104.8938,11.5564
胡志明市,雨天,106.6297,10.8231
里斯本,晴朗,-9.1393,38.7223
布鲁塞尔,阴天,4.3517,50.8503
布达佩斯,阴天,19.0402,47.4979
塞班岛,晴朗,145.7231,15.1833
利马,雪天,-77.0428,-12.0464
开普敦,雨天,18.4241,-33.9249
新加坡,雨天,103.8198,1.3521
墨西哥城,阴天,-99.1332,19.4326
旧金山,阴天,-122.4194,37.7749
夏威夷,多云,-157.8583,21.3069
